---------Evaluate Model on TestSet---------------
Test: [0/1]	
 ** MAE Tensor(shape=[], dtype=float32, place=Place(gpu:0), stop_gradient=False,
       1.89429963)
==PROF== Connected to process 1965517 (/home/yujixuan/anaconda3/envs/CGCNN_paddle/bin/python3.8)
==PROF== Disconnected from process 1965517
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value","Id:Domain:Start/Stop_Range:PL_Type:PL_Value","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","34.56"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","22.29"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","gpu__time_duration.sum","nsecond","11,200"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","launch__block_size","","512"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","launch__grid_size","","117"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","launch__registers_per_thread","register/thread","74"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","0"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","0"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","12.89"
"0","1965517","python3.8","127.0.0.1",""," ""0:<default domain>:convLayer:none:none"" ","void phi::funcs::GatherNdCUDAKernel<float, int>(float const*, common::Dim<9>, int const*, float*, unsigned long, unsigned long, unsigned long)","2024-Jul-13 20:34:21","1","13","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","32.53"
