---kai: before loop---
Training iteration 0 | loss kld 25.0514 kld1 11.9488 kld2 10.7655 kld3 2.3371 elem_type_num 1.5364 elem_type 0.7045 elem_num 1.5463 lattice 0.5353 coord 1.3269
Training iteration 1 | loss kld 121.7769 kld1 39.0944 kld2 79.8705 kld3 2.8119 elem_type_num 1.3589 elem_type 0.6570 elem_num 1.4762 lattice 0.5606 coord 0.7798
Training iteration 2 | loss kld 43.8688 kld1 15.3151 kld2 25.3984 kld3 3.1553 elem_type_num 1.3564 elem_type 0.6115 elem_num 1.3640 lattice 0.4237 coord 0.9954
Training iteration 3 | loss kld 42.8995 kld1 20.0744 kld2 18.8073 kld3 4.0177 elem_type_num 1.2450 elem_type 0.5532 elem_num 1.2843 lattice 0.4090 coord 0.7138
Training iteration 4 | loss kld 109.6360 kld1 62.4069 kld2 42.2366 kld3 4.9926 elem_type_num 1.1176 elem_type 0.4358 elem_num 1.1335 lattice 0.3444 coord 0.6674
Training iteration 5 | loss kld 316.8434 kld1 219.4392 kld2 91.4345 kld3 5.9696 elem_type_num 1.2231 elem_type 0.2661 elem_num 0.9094 lattice 0.2413 coord 0.8024
Training iteration 6 | loss kld 265.3539 kld1 206.0706 kld2 52.1276 kld3 7.1556 elem_type_num 1.0290 elem_type 0.2104 elem_num 0.8204 lattice 0.1560 coord 0.6868
Training iteration 7 | loss kld 236.0524 kld1 190.8426 kld2 35.5587 kld3 9.6511 elem_type_num 0.9955 elem_type 0.1756 elem_num 0.7320 lattice 0.1036 coord 0.6964
Training iteration 8 | loss kld 231.6196 kld1 190.0374 kld2 31.4162 kld3 10.1660 elem_type_num 1.1302 elem_type 0.1456 elem_num 0.6514 lattice 0.0606 coord 0.6603
Training iteration 9 | loss kld 213.7528 kld1 169.6992 kld2 31.2879 kld3 12.7657 elem_type_num 1.0579 elem_type 0.1327 elem_num 0.6355 lattice 0.0567 coord 0.6596
Training iteration 10 | loss kld 171.8479 kld1 127.3274 kld2 30.4308 kld3 14.0897 elem_type_num 1.0071 elem_type 0.1314 elem_num 0.6434 lattice 0.0718 coord 0.6986
Training iteration 11 | loss kld 118.8924 kld1 79.9410 kld2 23.2399 kld3 15.7115 elem_type_num 1.0231 elem_type 0.1368 elem_num 0.6484 lattice 0.1006 coord 0.6994
Training iteration 12 | loss kld 104.8081 kld1 69.3072 kld2 19.6174 kld3 15.8835 elem_type_num 0.9973 elem_type 0.1335 elem_num 0.6288 lattice 0.1189 coord 0.6564
Training iteration 13 | loss kld 136.5722 kld1 98.1625 kld2 22.4662 kld3 15.9435 elem_type_num 1.0158 elem_type 0.1190 elem_num 0.5628 lattice 0.1013 coord 0.6414
